State,County/ Congressional District,Veteran Population,Year
Georgia,TELFAIR,766,2010
Georgia,TERRELL,649,2010
Georgia,THOMAS,3493,2010
Georgia,TIFT,2772,2010
Georgia,TOOMBS,2225,2010
Georgia,TOWNS,1398,2010
Georgia,TREUTLEN,378,2010
Georgia,TROUP,4564,2010
Georgia,TURNER,665,2010
Georgia,TWIGGS,571,2010
Georgia,UNION,2523,2010
Georgia,UPSON,2293,2010
Georgia,WALKER,6467,2010
Georgia,WALTON,5895,2010
Georgia,WARE,2919,2010
Georgia,WARREN,484,2010
Georgia,WASHINGTON,1160,2010
Georgia,WAYNE,2382,2010
Georgia,WEBSTER,145,2010
Georgia,WHEELER,472,2010
Georgia,WHITE,2678,2010
Georgia,WHITFIELD,5869,2010
Georgia,WILCOX,746,2010
Georgia,WILKES,684,2010
Georgia,WILKINSON,665,2010
Georgia,WORTH,1825,2010
Hawaii,HAWAII,16975,2010
Hawaii,HONOLULU,84228,2010
Hawaii,KALAWAO,0,2010
Hawaii,KAUAI,4819,2010
Hawaii,MAUI,10588,2010
Idaho,ADA,32352,2010
Idaho,ADAMS,459,2010
Idaho,BANNOCK,6047,2010
Idaho,BEAR LAKE,550,2010
Idaho,BENEWAH,988,2010
Idaho,BINGHAM,2760,2010
Idaho,BLAINE,1421,2010
Idaho,BOISE,1020,2010
Idaho,BONNER,4584,2010
Idaho,BONNEVILLE,7182,2010
Idaho,BOUNDARY,1457,2010
Idaho,BUTTE,319,2010
Idaho,CAMAS,120,2010
Idaho,CANYON,13347,2010
Idaho,CARIBOU,549,2010
Idaho,CASSIA,1444,2010
Idaho,CLARK,49,2010
Idaho,CLEARWATER,1032,2010
Idaho,CUSTER,426,2010
Idaho,ELMORE,4126,2010
Idaho,FRANKLIN,963,2010
Idaho,FREMONT,1162,2010
Idaho,GEM,1739,2010
Idaho,GOODING,1301,2010
Idaho,IDAHO,1944,2010
Idaho,JEFFERSON,1492,2010
Idaho,JEROME,1386,2010
Idaho,KOOTENAI,14027,2010
Idaho,LATAH,2566,2010
Idaho,LEMHI,903,2010
Idaho,LEWIS,567,2010
Idaho,LINCOLN,287,2010
Idaho,MADISON,1079,2010
Idaho,MINIDOKA,1610,2010
Idaho,NEZ PERCE,4207,2010
Idaho,ONEIDA,426,2010
Idaho,OWYHEE,1097,2010
Idaho,PAYETTE,2103,2010
Idaho,POWER,486,2010
Idaho,SHOSHONE,1637,2010
Idaho,TETON,377,2010
Idaho,TWIN FALLS,5836,2010
Alabama,AUTAUGA,5817,2010
Alabama,BALDWIN,20396,2010
Alabama,BARBOUR,2327,2010
Alabama,BIBB,1883,2010
Alabama,BLOUNT,4072,2010
Alabama,BULLOCK,943,2010
Alabama,BUTLER,1675,2010
Alabama,CALHOUN,11757,2010
Alabama,CHAMBERS,2893,2010
Alabama,CHEROKEE,2172,2010
Alabama,CHILTON,3317,2010
Alabama,CHOCTAW,745,2010
Alabama,CLARKE,1649,2010
Alabama,CLAY,1148,2010
Alabama,CLEBURNE,1126,2010
Alabama,COFFEE,5947,2010
Alabama,COLBERT,4586,2010
Alabama,CONECUH,1185,2010
Alabama,COOSA,1097,2010
Alabama,COVINGTON,3764,2010
Alabama,CRENSHAW,1256,2010
Alabama,CULLMAN,6708,2010
Alabama,DALE,7148,2010
Alabama,DALLAS,3384,2010
Alabama,DEKALB,4514,2010
Alabama,ELMORE,8363,2010
Alabama,ESCAMBIA,3146,2010
Alabama,ETOWAH,9837,2010
Alabama,FAYETTE,1319,2010
Alabama,FRANKLIN,2059,2010
Alabama,GENEVA,2547,2010
Alabama,GREENE,460,2010
Alabama,HALE,1209,2010
Alabama,HENRY,1548,2010
Alabama,HOUSTON,9168,2010
Alabama,JACKSON,4165,2010
Alabama,JEFFERSON,51882,2010
Alabama,LAMAR,1264,2010
Alabama,LAUDERDALE,8022,2010
Alabama,LAWRENCE,2299,2010
Alabama,LEE,9711,2010
Alabama,LIMESTONE,6720,2010
Alabama,LOWNDES,772,2010
Alabama,MACON,2165,2010
Alabama,MADISON,33909,2010
Alabama,MARENGO,1669,2010
Alabama,MARION,2534,2010
Alabama,MARSHALL,7612,2010
Alabama,MOBILE,35780,2010
Alabama,MONROE,1409,2010
Alabama,MONTGOMERY,20711,2010
Alabama,MORGAN,10210,2010
Alabama,PERRY,591,2010
Alabama,PICKENS,1771,2010
Alabama,PIKE,2341,2010
Alabama,RANDOLPH,1778,2010
Alabama,RUSSELL,5360,2010
Alabama,SAINT CLAIR,7217,2010
Alabama,SHELBY,14211,2010
Alabama,SUMTER,706,2010
Alabama,TALLADEGA,7080,2010
Alabama,TALLAPOOSA,3829,2010
Alabama,TUSCALOOSA,12396,2010
Alabama,WALKER,5535,2010
Alabama,WASHINGTON,957,2010
Alabama,WILCOX,390,2010
Alabama,WINSTON,1871,2010
Alaska,ALEUTIANS EAST,59,2010
Alaska,ALEUTIANS WEST,484,2010
Alaska,ANCHORAGE,30779,2010
Alaska,BETHEL,770,2010
Alaska,BRISTOL BAY,103,2010
Alaska,DENALI,155,2010
Alaska,DILLINGHAM,206,2010
Alaska,FAIRBANKS NORTH STAR,11448,2010
Alaska,HAINES,324,2010
Alaska,HOONAH-ANGOON,229,2010
Alaska,JUNEAU,2564,2010
Alaska,KENAI PENINSULA,5622,2010
Alaska,KETCHIKAN GATEWAY,1348,2010
Alaska,KODIAK ISLAND,1467,2010
Alaska,LAKE AND PENINSULA,77,2010
Alaska,MATANUSKA-SUSITNA,9163,2010
Alaska,NOME,693,2010
Alaska,NORTH SLOPE,489,2010
Alaska,NORTHWEST ARCTIC,458,2010
Alaska,PETERSBURG,455,2010
Alaska,PRINCE OF WALES-HYDER,585,2010
Alaska,SITKA,920,2010
Alaska,SKAGWAY,98,2010
Alaska,SOUTHEAST FAIRBANKS,1096,2010
Alaska,VALDEZ-CORDOVA,1059,2010
Alaska,WADE HAMPTON,322,2010
Alaska,WRANGELL,294,2010
Alaska,YAKUTAT,65,2010
Alaska,YUKON-KOYUKUK,466,2010
Arizona,APACHE,4701,2010
Arizona,COCHISE,19851,2010
Arizona,COCONINO,8457,2010
Arizona,GILA,5942,2010
Arizona,GRAHAM,2904,2010
Arizona,GREENLEE,829,2010
Arizona,LA PAZ,3321,2010
Arizona,MARICOPA,282952,2010
Arizona,MOHAVE,27645,2010
Arizona,NAVAJO,7964,2010
Arizona,PIMA,96814,2010
Arizona,PINAL,32337,2010
Arizona,SANTA CRUZ,2019,2010
Arizona,YAVAPAI,29228,2010
Arizona,YUMA,17246,2010
Arkansas,ARKANSAS,1599,2010
Arkansas,ASHLEY,1584,2010
Arkansas,BAXTER,6248,2010
Arkansas,BENTON,16837,2010
Arkansas,BOONE,3417,2010
Arkansas,BRADLEY,729,2010
Arkansas,CALHOUN,512,2010
Arkansas,CARROLL,2653,2010
Arkansas,CHICOT,934,2010
Arkansas,CLARK,1828,2010
Arkansas,CLAY,1372,2010
Arkansas,CLEBURNE,3483,2010
Arkansas,CLEVELAND,535,2010
