State,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients **,Year
Indiana,469210,2787066,1233530,5405,151372,0,53741,25497,1317521,130705,2015
Iowa,227991,1397551,581556,248,74950,0,11568,19433,709796,72039,2015
Kansas,218416,1415559,631885,738,110338,0,23747,16836,632015,58852,2015
Kentucky,328408,2501383,1231438,15544,141335,0,43807,18000,1051260,101799,2015
Louisiana,326229,2658351,1211260,288759,146460,0,28577,20552,962744,89654,2015
Maine,125078,982591,519583,101,42841,0,19660,10281,390125,40174,2015
Maryland,430446,2866923,1279895,10173,350882,0,24264,35023,1166686,84729,2015
Massachusetts,367531,2693536,1141560,5360,211092,0,27522,39886,1268117,84625,2015
Michigan,640865,3856572,1959410,10805,215844,0,54702,46717,1569095,152881,2015
Minnesota,361129,2637124,1123595,10726,146597,0,86488,35200,1234518,117414,2015
Mississippi,218980,1739068,791716,34603,96930,0,29819,12941,773059,69923,2015
Missouri,488220,3556661,1627460,70190,199877,0,154123,34211,1470801,140618,2015
Montana,99034,780685,324329,5972,40828,0,8801,7002,393754,36365,2015
Nebraska,141213,1171266,546459,11448,65078,0,37410,11703,499168,47822,2015
Nevada,225073,1885151,818844,27882,107053,0,14561,12547,904265,71894,2015
New Hampshire,111389,702720,313725,555,59060,0,6587,9098,313694,29595,2015
New Jersey,413188,2157162,1036506,5047,207474,0,18670,49039,840426,77318,2015
New Mexico,170132,1499350,782081,11497,76755,0,13727,12854,602436,52842,2015
New York,862805,6284863,2377227,36121,567639,0,107919,94698,3101259,227633,2015
North Carolina,773884,6380720,3436154,12445,474299,0,95036,58336,2304451,221522,2015
North Dakota,57086,386285,167895,5151,24962,0,6291,3863,178123,19361,2015
Ohio,848124,7699529,2192679,24745,307468,0,2608851,59110,2506677,231996,2015
Oklahoma,335905,3003074,1812031,10509,153716,0,123447,20901,882470,95358,2015
Oregon,326338,2627979,1281055,13213,145921,0,36758,26339,1124692,100961,2015
Pennsylvania,916638,5432718,2402975,33688,359206,0,159981,78071,2398796,234347,2015
Rhode Island,69862,545538,223371,2427,39555,0,25055,6257,248873,19707,2015
South Carolina,417515,3484527,1909398,8411,267690,0,68554,30328,1200146,132146,2015
South Dakota,71736,666733,236224,15050,30536,0,11254,4497,369172,30167,2015
Tennessee,503675,3977481,2046342,10755,265299,0,64844,33729,1556512,143137,2015
Texas,1675262,14812595,7447454,36772,1376590,865419,222872,119106,4744382,463875,2015
Utah,150904,1118885,440335,3463,127276,0,59881,12169,475761,36004,2015
Vermont,47664,324118,134177,8801,19992,0,4085,3494,153568,14920,2015
Virginia,783108,5424411,2775627,15689,890627,0,64952,54280,1623236,152800,2015
Washington,598460,4004526,2140766,50484,398814,0,71631,41278,1301553,128240,2015
West Virginia,165709,1896031,705355,4092,46198,0,369209,9374,761803,58450,2015
Wisconsin,405729,2756150,1118396,18678,134092,0,72837,35051,1377096,121747,2015
Wyoming,49838,426957,156163,6034,17174,0,1793,3028,242765,19092,2015
Puerto Rico,90395,1602762,784777,22876,64137,0,21448,5224,704301,56100,2015
Guam,9493,89961,53087,0,16101,0,0,427,20346,2934,2015
